epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13187.4,1.05435,0.5666,1.19436,0.95289,0.95543,0.97373,0.74196,0.97527,0.36783,1.1427,0.000639532,0.000639532,0.000639532
43,13500.9,1.04395,0.56496,1.18114,0.9531,0.95593,0.97591,0.74394,0.9665,0.3633,1.13201,0.000624383,0.000624383,0.000624383
44,13814.5,1.03888,0.56307,1.17925,0.96417,0.94573,0.97519,0.74515,0.96329,0.36253,1.12882,0.000609111,0.000609111,0.000609111
45,14128.6,1.03184,0.56176,1.17848,0.94931,0.95943,0.97451,0.74551,0.95707,0.36238,1.12646,0.000593731,0.000593731,0.000593731
46,14442.8,1.03034,0.54988,1.17538,0.95389,0.96075,0.97682,0.75113,0.95502,0.35943,1.12531,0.000578259,0.000578259,0.000578259
47,14756.7,1.01782,0.54608,1.17161,0.96074,0.95776,0.97617,0.75201,0.94945,0.35757,1.12204,0.00056271,0.00056271,0.00056271
48,15070.2,1.01368,0.5481,1.1634,0.97184,0.94802,0.97676,0.75417,0.9433,0.35486,1.11767,0.000547099,0.000547099,0.000547099
49,15384.2,1.00167,0.53697,1.15721,0.96869,0.95155,0.97699,0.75554,0.93792,0.35326,1.11528,0.000531442,0.000531442,0.000531442
50,15698,1.00197,0.53697,1.16104,0.96966,0.95201,0.97719,0.75669,0.93479,0.35156,1.11307,0.000515754,0.000515754,0.000515754
51,16011.6,0.97734,0.52246,1.14736,0.96736,0.94823,0.97688,0.75673,0.93071,0.34981,1.11068,0.00050005,0.00050005,0.00050005
52,16325.6,0.98584,0.52758,1.15424,0.95522,0.96067,0.97615,0.75731,0.9283,0.35004,1.11016,0.000484346,0.000484346,0.000484346
53,16639.2,0.97256,0.51607,1.14765,0.95678,0.95879,0.97498,0.75871,0.92392,0.34812,1.10812,0.000468658,0.000468658,0.000468658
54,16953.2,0.96889,0.51409,1.14304,0.9607,0.95769,0.97426,0.7611,0.92046,0.34689,1.10676,0.000453001,0.000453001,0.000453001
55,17266.9,0.96356,0.50994,1.13954,0.95933,0.95594,0.97345,0.76274,0.91751,0.34551,1.10553,0.00043739,0.00043739,0.00043739
56,17580.6,0.96688,0.51553,1.14684,0.96046,0.95583,0.9746,0.76542,0.91406,0.34457,1.1043,0.000421841,0.000421841,0.000421841
57,17894.2,0.95203,0.50799,1.13196,0.96525,0.95211,0.97511,0.76557,0.91092,0.34273,1.10261,0.000406369,0.000406369,0.000406369
58,18207.9,0.94749,0.50311,1.13193,0.96097,0.95465,0.9732,0.7655,0.90784,0.34174,1.1013,0.000390989,0.000390989,0.000390989
59,18521.2,0.94322,0.50377,1.13204,0.96334,0.95263,0.97311,0.76633,0.90464,0.34033,1.09957,0.000375717,0.000375717,0.000375717
60,18835.1,0.94605,0.50709,1.1345,0.95896,0.95519,0.97215,0.76697,0.90158,0.33963,1.09798,0.000360568,0.000360568,0.000360568
61,19148.8,0.93746,0.50039,1.12975,0.96554,0.95362,0.97363,0.76974,0.89859,0.33855,1.09662,0.000345557,0.000345557,0.000345557
62,19463.1,0.92661,0.49642,1.12262,0.96353,0.95352,0.97322,0.77046,0.89616,0.33785,1.09546,0.000330698,0.000330698,0.000330698
63,19776.4,0.93354,0.49575,1.12479,0.96427,0.9554,0.97453,0.77363,0.89372,0.33672,1.09405,0.000316006,0.000316006,0.000316006
64,20090.1,0.9178,0.48822,1.11279,0.96256,0.95564,0.97453,0.77268,0.89108,0.33573,1.09259,0.000301496,0.000301496,0.000301496
65,20402.9,0.90893,0.47856,1.10475,0.96369,0.95524,0.97464,0.77344,0.88904,0.335,1.09125,0.000287182,0.000287182,0.000287182
66,20716,0.91098,0.48207,1.10431,0.96439,0.95861,0.97427,0.77389,0.88686,0.33438,1.08966,0.000273077,0.000273077,0.000273077
67,21029.5,0.90851,0.47553,1.09939,0.96416,0.95687,0.97481,0.7765,0.88493,0.33374,1.08842,0.000259197,0.000259197,0.000259197
68,21342.7,0.8998,0.47307,1.0995,0.9676,0.95382,0.97407,0.77714,0.88311,0.33333,1.08722,0.000245555,0.000245555,0.000245555
69,21656.3,0.90399,0.47441,1.10526,0.96472,0.95877,0.97418,0.77735,0.88166,0.33284,1.08701,0.000232163,0.000232163,0.000232163
70,21970.4,0.89032,0.47112,1.10094,0.9648,0.95885,0.97402,0.77791,0.87986,0.33223,1.08609,0.000219036,0.000219036,0.000219036
71,22283.8,0.88888,0.46752,1.09133,0.96393,0.95961,0.97411,0.77834,0.87766,0.33214,1.08427,0.000206187,0.000206187,0.000206187
72,22597.2,0.89368,0.47521,1.09962,0.96922,0.95431,0.97413,0.7788,0.87594,0.33173,1.08312,0.000193627,0.000193627,0.000193627
73,22910.2,0.87364,0.46191,1.09248,0.96731,0.95558,0.97426,0.77897,0.87406,0.33091,1.08198,0.00018137,0.00018137,0.00018137
74,23224,0.87448,0.45943,1.08235,0.96764,0.95466,0.97434,0.77955,0.87231,0.33046,1.08091,0.000169427,0.000169427,0.000169427
75,23537.7,0.87565,0.46012,1.08729,0.96802,0.95364,0.97443,0.78112,0.87069,0.32966,1.07986,0.000157811,0.000157811,0.000157811
76,23851.4,0.8746,0.46162,1.08323,0.96874,0.95376,0.97454,0.78061,0.86916,0.3291,1.07893,0.000146532,0.000146532,0.000146532
77,24164.8,0.8633,0.45457,1.07971,0.96895,0.95334,0.97475,0.78127,0.86764,0.32841,1.0782,0.000135602,0.000135602,0.000135602
78,24478.3,0.86169,0.45381,1.0814,0.96977,0.9531,0.97493,0.78276,0.86628,0.32821,1.07739,0.000125032,0.000125032,0.000125032
79,24791.7,0.85524,0.45316,1.07795,0.96908,0.95311,0.97497,0.78341,0.86476,0.32742,1.07633,0.000114832,0.000114832,0.000114832
80,25105.3,0.8552,0.44793,1.07506,0.96866,0.9535,0.97512,0.78346,0.86353,0.32722,1.07562,0.000105012,0.000105012,0.000105012
81,25419.1,0.84842,0.44914,1.08164,0.96728,0.95504,0.97502,0.78417,0.86231,0.32685,1.07501,9.5582e-05,9.5582e-05,9.5582e-05
82,25732.9,0.84699,0.44815,1.07418,0.9681,0.95584,0.97496,0.78407,0.86096,0.32646,1.07445,8.65511e-05,8.65511e-05,8.65511e-05
83,26046.3,0.84121,0.44238,1.07031,0.96798,0.95631,0.97457,0.78423,0.85967,0.3259,1.07387,7.79283e-05,7.79283e-05,7.79283e-05
84,26360.3,0.84183,0.44389,1.0705,0.96957,0.95544,0.9751,0.7856,0.85851,0.32556,1.07353,6.9722e-05,6.9722e-05,6.9722e-05
85,26674.5,0.84028,0.44478,1.07393,0.96864,0.95574,0.97515,0.7862,0.85728,0.32512,1.07298,6.19405e-05,6.19405e-05,6.19405e-05
86,26988.4,0.84152,0.43905,1.06964,0.96947,0.95515,0.97541,0.78668,0.85639,0.32463,1.07246,5.45913e-05,5.45913e-05,5.45913e-05
87,27302,0.83848,0.43979,1.07117,0.96578,0.96101,0.97552,0.78699,0.85525,0.32448,1.07201,4.76817e-05,4.76817e-05,4.76817e-05
88,27615.7,0.838,0.44384,1.07478,0.96369,0.96098,0.9755,0.78827,0.85404,0.32407,1.07151,4.12186e-05,4.12186e-05,4.12186e-05
89,27929.3,0.83453,0.4386,1.06475,0.96351,0.96104,0.97572,0.78901,0.85318,0.32413,1.07113,3.52082e-05,3.52082e-05,3.52082e-05
90,28243.2,0.8417,0.44092,1.07581,0.96298,0.96105,0.9759,0.78923,0.85239,0.32374,1.0708,2.96567e-05,2.96567e-05,2.96567e-05
91,28556.7,0.74691,0.31273,1.03059,0.96295,0.96093,0.976,0.79026,0.8516,0.32331,1.07052,2.45693e-05,2.45693e-05,2.45693e-05
92,28868.7,0.73426,0.30533,1.02499,0.97174,0.95208,0.97613,0.79036,0.85051,0.32315,1.07001,1.99512e-05,1.99512e-05,1.99512e-05
93,29180.7,0.72868,0.30486,1.02225,0.97153,0.95216,0.97623,0.79128,0.84964,0.32313,1.06965,1.58068e-05,1.58068e-05,1.58068e-05
94,29492.3,0.72617,0.30325,1.01944,0.97093,0.95195,0.97623,0.79213,0.84865,0.32281,1.06923,1.21404e-05,1.21404e-05,1.21404e-05
95,29804.1,0.72726,0.3024,1.02373,0.97106,0.95191,0.97636,0.79255,0.84774,0.32265,1.06892,8.95549e-06,8.95549e-06,8.95549e-06
96,30116,0.72671,0.30153,1.02132,0.97025,0.95187,0.97641,0.79228,0.84699,0.32257,1.06861,6.25521e-06,6.25521e-06,6.25521e-06
97,30427.5,0.71669,0.29794,1.01473,0.97033,0.95187,0.97651,0.79271,0.84623,0.3225,1.06836,4.04226e-06,4.04226e-06,4.04226e-06
98,30739.2,0.72245,0.3001,1.01673,0.97042,0.95179,0.97657,0.79302,0.84554,0.32227,1.06807,2.3188e-06,2.3188e-06,2.3188e-06
99,31050.4,0.72218,0.30017,1.01644,0.97047,0.95173,0.97667,0.79434,0.84481,0.32241,1.06782,1.08654e-06,1.08654e-06,1.08654e-06
100,31361.9,0.71881,0.2989,1.01657,0.9706,0.95174,0.97676,0.79387,0.84423,0.32244,1.06762,3.46695e-07,3.46695e-07,3.46695e-07
